Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x303ba90          TCPv4    127.0.0.1:58079                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x303dcf0          TCPv4    127.0.0.1:62734                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x303e9d0          TCPv4    127.0.0.1:56698                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x303ecf0          TCPv4    127.0.0.1:49998                127.0.0.1:56684      ESTABLISHED      1496     java.exe       
0x303f2c0          TCPv4    127.0.0.1:49998                127.0.0.1:58681      ESTABLISHED      1496     java.exe       
0x303f8d0          TCPv4    127.0.0.1:58720                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x303fbf0          TCPv4    127.0.0.1:49998                127.0.0.1:58690      ESTABLISHED      1496     java.exe       
0x3041cf0          TCPv4    127.0.0.1:49998                127.0.0.1:60994      ESTABLISHED      1496     java.exe       
0x3044c00          TCPv4    127.0.0.1:56728                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x3045010          TCPv4    127.0.0.1:49998                127.0.0.1:62275      ESTABLISHED      1496     java.exe       
0x3046420          TCPv4    127.0.0.1:49998                127.0.0.1:57829      ESTABLISHED      1496     java.exe       
0x3046840          TCPv4    127.0.0.1:49998                127.0.0.1:58265      ESTABLISHED      1496     java.exe       
0x3047320          TCPv4    127.0.0.1:62784                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x304a770          TCPv4    127.0.0.1:55948                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x304e550          TCPv4    127.0.0.1:62459                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x3055010          TCPv4    127.0.0.1:64561                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x3057490          TCPv4    127.0.0.1:57380                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x3058010          TCPv4    127.0.0.1:64646                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x30597c0          TCPv4    127.0.0.1:61840                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x305d920          TCPv4    127.0.0.1:49998                127.0.0.1:59673      ESTABLISHED      1496     java.exe       
0x3061cf0          TCPv4    127.0.0.1:64718                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x30622b0          TCPv4    127.0.0.1:49998                127.0.0.1:56731      ESTABLISHED      1496     java.exe       
0x3067cf0          TCPv4    127.0.0.1:49998                127.0.0.1:61018      ESTABLISHED      1496     java.exe       
0x306ba50          TCPv4    127.0.0.1:61432                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x306c010          TCPv4    127.0.0.1:49998                127.0.0.1:60859      ESTABLISHED      1496     java.exe       
0x30716b0          TCPv4    127.0.0.1:49998                127.0.0.1:63054      ESTABLISHED      1496     java.exe       
0x30719d0          TCPv4    127.0.0.1:62386                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x3073940          TCPv4    127.0.0.1:62749                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x3077450          TCPv4    127.0.0.1:49998                127.0.0.1:54389      ESTABLISHED      1496     java.exe       
